player_name,team,league,age,position,minutes_played,appearances,goals,assists,shots_on_target,key_passes,tackles,team_ppg,league_position,market_value_m,season,value_date,sofascore_id,tm_player_id,match_method
Vitor Reis,Girona FC,La Liga,20.4,Defender,3138,36,1,1,4,9,50,1.079,19,30.0,25/26,2026-06-05,1485300,1005575,name
Mikel Jauregizar,Athletic Club,La Liga,22.6,Midfielder,2843,36,2,0,11,28,68,1.184,12,30.0,25/26,2026-06-05,1495844,938729,slug
Marc Bernal,FC Barcelona,La Liga,19.0,Midfielder,795,22,2,1,2,5,26,2.474,1,30.0,25/26,2026-06-05,1526618,1018920,slug
Matteo Ruggeri,Atlético Madrid,La Liga,23.9,Defender,1775,26,0,3,2,26,36,1.816,4,28.0,25/26,2026-06-05,965011,616631,slug
Mikel Oyarzabal,Real Sociedad,La Liga,29.1,Forward,2714,34,15,4,36,42,29,1.211,10,25.0,25/26,2026-06-05,823622,351478,slug
Oihan Sancet,Athletic Club,La Liga,26.1,Midfielder,1803,28,4,0,15,27,25,1.184,12,25.0,25/26,2026-06-05,966801,571020,slug
Natan,Real Betis,La Liga,25.3,Defender,2810,33,0,0,1,7,32,1.579,5,25.0,25/26,2026-06-05,1015287,735568,slug
Renato Veiga,Villarreal,La Liga,22.9,Defender,2485,32,0,0,3,3,19,1.895,3,25.0,25/26,2026-06-05,1087359,805714,slug
Javier Guerra,Valencia,La Liga,23.1,Midfielder,2086,36,4,6,12,32,29,1.289,9,25.0,25/26,2026-06-05,1122610,834764,fuzzy 92
Jon Gorrotxategi,Real Sociedad,La Liga,24.3,Midfielder,2215,30,1,3,1,18,45,1.211,10,25.0,25/26,2026-06-05,1216309,711374,slug
Carlos Romero,Espanyol,La Liga,24.6,Defender,3195,36,6,3,12,27,97,1.211,11,25.0,25/26,2026-06-05,1396048,709372,slug
Jon Martin,Real Sociedad,La Liga,20.1,Defender,2250,25,2,0,5,2,31,1.211,10,25.0,25/26,2026-06-05,1466116,1018938,name
Nicolás González,Atlético Madrid,La Liga,28.2,Midfielder,1460,24,5,0,20,12,24,1.816,4,22.0,25/26,2026-06-05,901325,486031,fuzzy 90
Marcos Llorente,Atlético Madrid,La Liga,31.3,Defender,2184,29,0,4,6,20,59,1.816,4,20.0,25/26,2026-06-05,353138,282411,slug
Robin Le Normand,Atlético Madrid,La Liga,29.6,Defender,1789,28,1,1,1,2,35,1.816,4,20.0,25/26,2026-06-05,787751,351809,slug
Éder Militão,Real Madrid,La Liga,28.4,Defender,1141,16,2,1,9,8,23,2.263,2,20.0,25/26,2026-06-05,822519,401530,slug
Takefusa Kubo,Real Sociedad,La Liga,25.0,Midfielder,1508,24,2,4,12,33,29,1.211,10,20.0,25/26,2026-06-05,880218,405398,slug
Dani Vivian,Athletic Club,La Liga,26.9,Defender,2563,31,1,0,6,6,55,1.184,12,20.0,25/26,2026-06-05,910978,524000,slug
Ronald Araújo,FC Barcelona,La Liga,27.2,Defender,1072,24,3,0,5,3,21,2.474,1,20.0,25/26,2026-06-05,925097,480267,slug
David Affengruber,Elche,La Liga,25.2,Defender,2953,36,1,1,4,8,74,1.132,15,20.0,25/26,2026-06-05,988672,452483,slug
Johnny Cardoso,Atlético Madrid,La Liga,24.7,Midfielder,892,15,0,0,0,3,37,1.816,4,20.0,25/26,2026-06-05,990169,689505,slug
Orri Óskarsson,Real Sociedad,La Liga,21.8,Forward,842,20,9,0,19,5,7,1.211,10,20.0,25/26,2026-06-05,1026015,660438,name
Williot Swedberg,Celta Vigo,La Liga,22.3,Midfielder,1268,29,5,5,12,10,28,1.421,6,20.0,25/26,2026-06-05,1126779,764859,slug
Sergi Altimira,Real Betis,La Liga,24.8,Midfielder,1198,24,1,2,3,11,51,1.579,5,20.0,25/26,2026-06-05,1137814,466801,slug
Raúl Asencio,Real Madrid,La Liga,23.3,Defender,1706,23,2,0,4,5,17,2.263,2,20.0,25/26,2026-06-05,1156645,935245,slug
Rodrigo Mendoza,Atlético Madrid,La Liga,21.2,Midfielder,1231,24,1,1,4,15,16,1.816,4,20.0,25/26,2026-06-05,1391752,961297,slug
Santiago Mouriño,Villarreal,La Liga,24.3,Defender,2384,28,1,2,3,8,102,1.895,3,20.0,25/26,2026-06-05,1468046,953901,slug
Carlos Espí,Levante UD,La Liga,20.9,Forward,1350,25,11,0,24,9,13,1.105,16,20.0,25/26,2026-06-05,1649918,1063338,name
Alexander Sørloth,Atlético Madrid,La Liga,30.5,Forward,1981,35,13,0,35,10,14,1.816,4,18.0,25/26,2026-06-05,309078,238407,name
Óscar Mingueza,Celta Vigo,La Liga,27.1,Midfielder,1967,34,1,4,5,32,42,1.421,6,18.0,25/26,2026-06-05,859773,331505,slug
Cucho Hernández,Real Betis,La Liga,27.1,Forward,2592,32,11,3,27,34,28,1.579,5,18.0,25/26,2026-06-05,887055,459463,slug
Andrei Rațiu,Rayo Vallecano,La Liga,28.0,Defender,2810,35,0,4,9,43,70,1.316,8,18.0,25/26,2026-06-05,965031,527966,slug
Ander Barrenetxea,Real Sociedad,La Liga,24.4,Midfielder,1769,30,3,5,11,44,30,1.211,10,18.0,25/26,2026-06-05,966862,616369,slug
Marc Casadó,FC Barcelona,La Liga,22.7,Midfielder,999,24,0,1,0,14,18,2.474,1,18.0,25/26,2026-06-05,1000483,636695,slug
Javi Rodríguez,Celta Vigo,La Liga,22.9,Defender,2561,33,0,1,2,10,38,1.421,6,18.0,25/26,2026-06-05,1526627,1076815,slug
Fer López,Celta Vigo,La Liga,22.0,Midfielder,1174,17,1,1,5,13,20,1.421,6,16.0,25/26,2026-06-05,1526628,1064471,slug
Viktor Tsygankov,Girona FC,La Liga,28.6,Midfielder,2641,32,6,5,21,56,31,1.079,19,15.0,25/26,2026-06-05,319735,264372,slug
Nahuel Molina,Atlético Madrid,La Liga,28.2,Defender,1332,26,2,2,4,21,40,1.816,4,15.0,25/26,2026-06-05,831799,424042,slug
Sergio Gómez,Real Sociedad,La Liga,25.7,Defender,2705,35,0,6,0,45,88,1.211,10,15.0,25/26,2026-06-05,855835,366930,slug
Thiago Almada,Atlético Madrid,La Liga,25.1,Midfielder,1312,27,3,1,10,28,29,1.816,4,15.0,25/26,2026-06-05,944660,576028,slug
Akor Adams,Sevilla,La Liga,26.3,Forward,2070,32,10,3,30,13,8,1.132,13,15.0,25/26,2026-06-05,946381,607034,slug
Lucien Agoumé,Sevilla,La Liga,24.3,Midfielder,2693,34,1,3,2,29,70,1.132,13,15.0,25/26,2026-06-05,960006,569384,slug
Ilaix Moriba,Celta Vigo,La Liga,23.4,Midfielder,2495,36,2,3,5,17,87,1.421,6,15.0,25/26,2026-06-05,962890,617074,slug
Vladyslav Vanat,Girona FC,La Liga,24.4,Forward,1960,27,9,1,18,12,5,1.079,19,15.0,25/26,2026-06-05,976374,631821,slug
Samú Costa,Mallorca,La Liga,25.5,Midfielder,2705,34,7,2,16,17,65,1.105,18,15.0,25/26,2026-06-05,988351,657430,name
Carlos Álvarez,Levante UD,La Liga,22.8,Midfielder,1907,30,3,1,11,40,22,1.105,16,15.0,25/26,2026-06-05,1010656,668179,slug
Omar El Hilali,Espanyol,La Liga,22.7,Defender,2828,36,0,2,0,17,73,1.211,11,15.0,25/26,2026-06-05,1064026,822331,slug
Enzo Boyomo,Osasuna,La Liga,24.7,Defender,2545,30,1,2,4,9,58,1.105,17,15.0,25/26,2026-06-05,1067582,541555,slug
Jon Aramburu,Real Sociedad,La Liga,23.9,Defender,2788,35,1,0,5,11,105,1.211,10,15.0,25/26,2026-06-05,1116388,661145,slug
Roony Bardghji,FC Barcelona,La Liga,20.6,Forward,661,21,1,1,12,15,6,2.474,1,15.0,25/26,2026-06-05,1162107,792331,slug
Etta Eyong,Levante UD,La Liga,22.6,Forward,1703,33,7,4,24,15,27,1.105,16,15.0,25/26,2026-06-05,1393673,1038950,fuzzy 90
Miguel Román,Celta Vigo,La Liga,23.4,Midfielder,1310,19,1,0,1,17,27,1.421,6,15.0,25/26,2026-06-05,1398526,892932,slug
Claudio Echeverri,Girona FC,La Liga,20.4,Midfielder,618,17,1,1,7,8,6,1.079,19,15.0,25/26,2026-06-05,1482424,994536,slug
Pau Navarro,Villarreal,La Liga,21.1,Defender,1924,23,0,0,2,4,65,1.895,3,15.0,25/26,2026-06-05,1525863,1061336,slug
Jan Virgili,Mallorca,La Liga,19.9,Midfielder,1804,31,2,4,16,30,15,1.105,18,15.0,25/26,2026-06-05,1939173,1301775,slug
Yáser Asprilla,Girona FC,La Liga,22.5,Midfielder,605,15,0,0,5,12,8,1.079,19,14.0,25/26,2026-05-21,1092769,857818,slug
Kike Salas,Sevilla,La Liga,24.1,Defender,2208,26,2,0,8,7,59,1.132,13,14.0,25/26,2026-06-05,1097719,766583,slug
Rubén Vargas,Sevilla,La Liga,27.8,Midfielder,1608,24,3,6,8,28,19,1.132,13,12.0,25/26,2026-06-05,872919,345886,slug
Jorge de Frutos,Rayo Vallecano,La Liga,29.3,Forward,2483,36,10,1,28,31,31,1.316,8,12.0,25/26,2026-06-05,900003,455181,slug
Hugo Duro,Valencia,La Liga,26.6,Forward,1989,36,10,0,14,17,16,1.289,9,12.0,25/26,2026-06-05,909119,573775,slug
Tajon Buchanan,Villarreal,La Liga,27.3,Midfielder,1835,34,7,1,11,17,28,1.895,3,12.0,25/26,2026-06-05,973290,638793,slug
Rafa Marín,Villarreal,La Liga,24.0,Defender,1980,23,1,0,1,7,37,1.895,3,12.0,25/26,2026-06-05,984623,662261,slug
Sergio Carreira,Celta Vigo,La Liga,25.6,Midfielder,2693,34,2,1,7,19,32,1.421,6,12.0,25/26,2026-06-05,1002764,545647,slug
José Ángel Carmona,Sevilla,La Liga,24.3,Defender,2564,35,1,3,3,22,65,1.132,13,12.0,25/26,2026-06-05,1015240,711625,slug
Urko González,Espanyol,La Liga,25.2,Midfielder,2629,36,0,1,1,11,55,1.211,11,12.0,25/26,2026-06-05,1064009,625651,fuzzy 90
Ilias Akhomach,Rayo Vallecano,La Liga,22.1,Midfielder,897,20,0,1,8,13,24,1.316,8,12.0,25/26,2026-06-05,1089108,709969,slug
Valentín Gómez,Real Betis,La Liga,22.9,Defender,1881,28,1,0,5,10,46,1.579,5,12.0,25/26,2026-06-05,1186010,985383,name
Sofyan Amrabat,Real Betis,La Liga,29.8,Midfielder,1296,17,0,0,1,7,27,1.579,5,10.0,25/26,2026-06-05,359272,287579,slug
Fran García,Real Madrid,La Liga,26.8,Defender,933,13,1,1,2,5,19,2.263,2,10.0,25/26,2026-06-05,851271,341264,slug
Antonio Blanco,Deportivo Alavés,La Liga,25.9,Midfielder,3116,36,2,3,13,22,94,1.132,14,10.0,25/26,2026-06-05,855832,495621,slug
Luka Sučić,Real Sociedad,La Liga,23.7,Midfielder,1018,22,3,1,7,9,19,1.211,10,10.0,25/26,2026-06-05,949156,502722,slug
Ferrán Jutglà,Celta Vigo,La Liga,27.3,Forward,1669,30,9,3,26,16,12,1.421,6,10.0,25/26,2026-06-05,949962,599231,slug
Martín Satriano,Getafe,La Liga,25.3,Forward,1604,18,6,1,14,15,23,1.342,7,10.0,25/26,2026-06-05,973536,640109,slug
Beñat Turrientes,Real Sociedad,La Liga,24.3,Midfielder,1367,27,0,3,6,12,40,1.211,10,10.0,25/26,2026-06-05,980410,634431,slug
Azzedine Ounahi,Girona FC,La Liga,26.1,Midfielder,1766,24,5,2,19,36,23,1.079,19,10.0,25/26,2026-06-05,991421,593482,slug
Pep Chavarría,Rayo Vallecano,La Liga,28.2,Defender,2681,33,1,2,3,27,54,1.316,8,10.0,25/26,2026-06-05,1010421,596122,name
Juanlu Sánchez,Sevilla,La Liga,22.8,Midfielder,2002,32,0,3,1,22,63,1.132,13,10.0,25/26,2026-06-05,1010655,676042,slug
Tyrhys Dolan,Espanyol,La Liga,24.4,Midfielder,2431,36,2,5,12,32,57,1.211,11,10.0,25/26,2026-06-05,1063015,647435,slug
Arnau Martínez,Girona FC,La Liga,23.1,Defender,2678,35,2,3,4,24,66,1.079,19,10.0,25/26,2026-06-05,1084081,826224,slug
Obed Vargas,Atlético Madrid,La Liga,20.8,Midfielder,739,12,0,1,0,4,26,1.816,4,10.0,25/26,2026-06-05,1119345,889435,slug
Mario Martín,Getafe,La Liga,22.3,Midfielder,2134,35,2,1,6,8,56,1.342,7,10.0,25/26,2026-06-05,1154549,948273,name
Álvaro Rodriguez,Elche,La Liga,21.9,Forward,2200,34,7,5,24,33,24,1.132,15,10.0,25/26,2026-06-05,1154587,948275,slug
Roberto Fernández,Espanyol,La Liga,23.9,Forward,2387,38,7,3,23,18,12,1.211,11,10.0,25/26,2026-06-05,1392592,720518,slug
Oso,Sevilla,La Liga,22.9,Midfielder,1409,21,2,3,8,21,27,1.132,13,10.0,25/26,2026-06-05,1534422,1032280,name
José María Giménez,Atlético Madrid,La Liga,31.4,Defender,1177,16,0,1,3,1,25,1.816,4,9.0,25/26,2026-06-05,325355,250845,slug
Sergi Cardona,Villarreal,La Liga,26.9,Defender,1969,31,1,4,5,21,47,1.895,3,9.0,25/26,2026-06-05,986245,678406,slug
César Tárrega,Valencia,La Liga,24.3,Defender,2597,32,0,0,1,2,42,1.289,9,9.0,25/26,2026-06-05,996928,707274,slug
Diego López,Valencia,La Liga,24.1,Midfielder,1777,34,4,1,8,17,22,1.289,9,9.0,25/26,2026-06-05,998950,617081,slug
Nelson Deossa,Real Betis,La Liga,26.3,Midfielder,736,20,0,0,0,8,14,1.579,5,9.0,25/26,2026-06-05,1129401,907559,slug
Antoine Griezmann,Atlético Madrid,La Liga,35.2,Forward,1475,34,7,4,25,32,14,1.816,4,8.0,25/26,2026-06-05,85859,125781,slug
João Cancelo,FC Barcelona,La Liga,32.0,Defender,962,16,2,2,4,15,27,2.474,1,8.0,25/26,2026-06-05,138892,182712,slug
Aymeric Laporte,Athletic Club,La Liga,32.0,Defender,2060,25,0,1,5,7,27,1.184,12,8.0,25/26,2026-06-05,149734,176553,slug
Mauro Arambarri,Getafe,La Liga,30.7,Midfielder,3255,37,6,2,19,22,67,1.342,7,8.0,25/26,2026-06-05,385888,290249,slug
Iñaki Williams,Athletic Club,La Liga,32.0,Midfielder,2168,30,3,6,20,26,12,1.184,12,8.0,25/26,2026-06-05,783374,255508,slug
Giovani Lo Celso,Real Betis,La Liga,30.2,Midfielder,1396,24,2,3,11,33,19,1.579,5,8.0,25/26,2026-06-05,798835,348795,name
Pablo Fornals,Real Betis,La Liga,30.3,Midfielder,2865,37,9,6,19,87,39,1.579,5,8.0,25/26,2026-06-05,816763,357885,slug
Pepelu,Valencia,La Liga,27.8,Midfielder,2232,31,2,0,3,21,60,1.289,9,8.0,25/26,2026-06-05,826948,328480,slug
Santi Comesaña,Villarreal,La Liga,29.7,Midfielder,2413,34,3,6,7,27,45,1.895,3,8.0,25/26,2026-06-05,843678,380598,slug
Brais Méndez,Real Sociedad,La Liga,29.4,Midfielder,1672,29,6,2,16,25,37,1.211,10,8.0,25/26,2026-06-05,845385,309110,slug
Juan Foyth,Villarreal,La Liga,28.4,Defender,936,13,0,0,0,0,20,1.895,3,8.0,25/26,2026-06-05,873189,480763,slug
Largie Ramazani,Valencia,La Liga,25.3,Forward,1250,27,6,1,19,16,14,1.289,9,8.0,25/26,2026-06-05,909966,518644,slug
Bryan Gil,Girona FC,La Liga,25.3,Midfielder,1597,29,0,3,7,21,31,1.079,19,8.0,25/26,2026-06-05,910026,537382,slug
Lucas Beltrán,Valencia,La Liga,25.2,Forward,1366,27,1,2,9,13,22,1.289,9,8.0,25/26,2026-06-05,962029,628366,slug
Iván Romero,Levante UD,La Liga,25.2,Forward,2287,32,7,1,18,25,33,1.105,16,8.0,25/26,2026-06-05,1014042,628886,slug
Bryan Zaragoza,Celta Vigo,La Liga,24.7,Forward,1135,19,1,1,12,18,10,1.421,6,8.0,25/26,2026-05-29,1084730,713644,slug
Hugo Álvarez,Celta Vigo,La Liga,22.9,Midfielder,1343,28,4,2,8,25,15,1.421,6,8.0,25/26,2026-06-05,1154935,892929,slug
Jones El-Abdellaoui,Celta Vigo,La Liga,20.4,Forward,683,22,2,0,4,9,6,1.421,6,8.0,25/26,2026-06-05,1173575,960571,slug
Djibril Sow,Sevilla,La Liga,29.3,Midfielder,2195,33,5,4,8,24,45,1.132,13,7.5,25/26,2026-06-05,799054,212723,slug
Toni Martínez,Deportivo Alavés,La Liga,28.9,Forward,2725,37,14,3,36,24,28,1.132,14,7.5,25/26,2026-06-05,831253,302371,slug
Batista Mendy,Sevilla,La Liga,26.4,Midfielder,1624,27,1,0,5,9,35,1.132,13,7.5,25/26,2026-06-05,859021,395234,slug
Javi Puado,Espanyol,La Liga,28.0,Midfielder,678,10,2,0,9,10,4,1.211,11,7.5,25/26,2026-06-05,891511,408471,slug
Aitor Paredes,Athletic Club,La Liga,26.1,Defender,1629,19,2,0,4,4,21,1.184,12,7.5,25/26,2026-06-05,959872,591916,slug
Aimar Oroz,Osasuna,La Liga,24.5,Midfielder,2152,31,0,2,4,38,37,1.105,17,7.5,25/26,2026-06-05,985329,634131,slug
Nobel Mendy,Rayo Vallecano,La Liga,21.8,Defender,1811,24,2,0,3,3,27,1.316,8,7.5,25/26,2026-06-05,1458073,1034853,slug
Robert Lewandowski,FC Barcelona,La Liga,37.8,Forward,1656,31,14,2,29,14,5,2.474,1,7.0,25/26,2026-06-05,41789,38253,slug
Carlos Soler,Real Sociedad,La Liga,29.4,Midfielder,2332,33,4,3,19,46,38,1.211,10,7.0,25/26,2026-06-05,832427,372246,slug
Jon Moncayola,Osasuna,La Liga,28.1,Midfielder,3028,36,0,4,5,39,55,1.105,17,7.0,25/26,2026-06-05,976141,552425,slug
Pablo Marín,Real Sociedad,La Liga,22.9,Midfielder,1511,34,0,1,4,13,19,1.211,10,7.0,25/26,2026-06-05,1139409,907813,slug
Tani Oluwaseyi,Villarreal,La Liga,26.1,Forward,922,27,2,2,7,6,7,1.895,3,7.0,25/26,2026-06-05,1172477,972465,name
Antonio Rüdiger,Real Madrid,La Liga,33.3,Defender,1492,18,1,0,1,3,14,2.263,2,6.0,25/26,2026-06-05,142622,86202,slug
Gonçalo Guedes,Real Sociedad,La Liga,29.5,Midfielder,1839,32,8,4,18,25,25,1.211,10,6.0,25/26,2026-06-05,280979,225122,slug
Nicolas Pépé,Villarreal,La Liga,31.0,Forward,2396,36,8,8,25,57,31,1.895,3,6.0,25/26,2026-06-05,593526,343052,slug
Borja Mayoral,Getafe,La Liga,29.2,Forward,1068,16,4,1,7,5,5,1.342,7,6.0,25/26,2026-06-05,604954,298976,slug
Gabriel Suazo,Sevilla,La Liga,28.8,Defender,2096,29,0,1,2,36,86,1.132,13,6.0,25/26,2026-06-05,818986,385105,slug
Pol Lozano,Espanyol,La Liga,26.7,Midfielder,2182,33,2,1,5,23,38,1.211,11,6.0,25/26,2026-06-05,826010,412045,slug
Igor Zubeldia,Real Sociedad,La Liga,29.2,Defender,2088,25,0,1,1,5,38,1.211,10,6.0,25/26,2026-06-05,838159,355628,slug
Yangel Herrera,Real Sociedad,La Liga,28.4,Midfielder,642,14,0,0,1,2,12,1.211,10,6.0,25/26,2026-06-05,839585,378293,slug
André Almeida,Valencia,La Liga,26.0,Midfielder,1035,22,0,2,3,18,23,1.289,9,6.0,25/26,2026-06-05,845693,375382,slug
Filip Ugrinić,Valencia,La Liga,27.4,Midfielder,1513,27,0,3,3,23,25,1.289,9,6.0,25/26,2026-06-05,857482,394236,slug
Robert Navarro,Athletic Club,La Liga,24.1,Midfielder,1311,32,6,1,10,24,16,1.184,12,6.0,25/26,2026-06-05,944165,563137,slug
Germán Valera,Elche,La Liga,24.2,Midfielder,2874,36,4,5,8,46,55,1.132,15,6.0,25/26,2026-06-05,962710,548188,slug
Manuel Sánchez,Levante UD,La Liga,25.8,Defender,2818,33,1,2,4,17,81,1.105,16,6.0,25/26,2026-06-05,984789,618809,fuzzy 92
Javier Rueda,Celta Vigo,La Liga,24.1,Midfielder,1410,26,2,6,3,14,20,1.421,6,6.0,25/26,2026-06-05,1008259,652331,fuzzy 91
Joel Roca,Girona FC,La Liga,21.0,Midfielder,1482,32,3,1,16,16,23,1.079,19,6.0,25/26,2026-06-05,1391616,895326,slug
Andrés Castrin,Sevilla,La Liga,23.0,Defender,1281,19,1,0,3,2,26,1.132,13,6.0,25/26,2026-06-05,1428699,719999,slug
Matias Moreno,Levante UD,La Liga,22.7,Defender,2266,28,0,0,0,8,33,1.105,16,6.0,25/26,2026-06-05,1496360,1144700,slug
Koke,Atlético Madrid,La Liga,34.4,Midfielder,2236,34,2,2,4,35,50,1.816,4,5.0,25/26,2026-06-05,84539,74229,slug
Aleix Febas,Elche,La Liga,30.3,Midfielder,3166,36,2,2,8,27,77,1.132,15,5.0,25/26,2026-06-05,286167,217144,slug
Ayoze Pérez,Villarreal,La Liga,32.9,Forward,1127,25,5,4,11,16,22,1.895,3,5.0,25/26,2026-06-05,345195,246968,slug
Gorka Guruzeta,Athletic Club,La Liga,29.7,Forward,2371,35,10,3,32,26,19,1.184,12,5.0,25/26,2026-06-05,605672,340205,slug
Lucas Boyé,Deportivo Alavés,La Liga,30.3,Forward,1959,29,11,1,21,28,36,1.132,14,5.0,25/26,2026-06-05,814385,334222,slug
